Column_0,Year,Value
Avg Daily NonTapped Entries,Column_50,0
Avg Daily Tapped Entries,Column_50,508713.3793103448
,Column_51,March
Avg Daily NonTapped Entries,Column_51,0
Avg Daily Tapped Entries,Column_51,554362.5161290322
,Column_52,April
Avg Daily NonTapped Entries,Column_52,0
Avg Daily Tapped Entries,Column_52,561893.3666666667
,Column_53,May
Avg Daily NonTapped Entries,Column_53,0
Avg Daily Tapped Entries,Column_53,505878.70967741933
,Column_54,June
Avg Daily NonTapped Entries,Column_54,0
Avg Daily Tapped Entries,Column_54,535742.9666666667
,Column_55,July
Avg Daily NonTapped Entries,Column_55,0
Avg Daily Tapped Entries,Column_55,481128.70967741933
,Column_56,August
Avg Daily NonTapped Entries,Column_56,0
Avg Daily Tapped Entries,Column_56,482594.2580645161
,Column_57,September
Avg Daily NonTapped Entries,Column_57,0
Avg Daily Tapped Entries,Column_57,493194.93333333335
,Column_58,October
Avg Daily NonTapped Entries,Column_58,0
Avg Daily Tapped Entries,Column_58,483592.3548387097
,Column_59,November
Avg Daily NonTapped Entries,Column_59,0
Avg Daily Tapped Entries,Column_59,441511.4666666667
,Column_60,December
Avg Daily NonTapped Entries,Column_60,0
Avg Daily Tapped Entries,Column_60,414534.48387096776
,2017,January
Avg Daily NonTapped Entries,2017,0
Avg Daily Tapped Entries,2017,470911.32258064515
,Column_62,February
Avg Daily NonTapped Entries,Column_62,0
Avg Daily Tapped Entries,Column_62,469132.64285714284
,Column_63,March
Avg Daily NonTapped Entries,Column_63,0
Avg Daily Tapped Entries,Column_63,507584.2580645161
,Column_64,April
Avg Daily NonTapped Entries,Column_64,0
Avg Daily Tapped Entries,Column_64,513097.36666666664
,Column_65,May
Avg Daily NonTapped Entries,Column_65,0
Avg Daily Tapped Entries,Column_65,500064.06451612903
,Column_66,June
Avg Daily NonTapped Entries,Column_66,0
Avg Daily Tapped Entries,Column_66,544426.2333333333
,Column_67,July
Avg Daily NonTapped Entries,Column_67,0
Avg Daily Tapped Entries,Column_67,487451.06451612903
,Column_68,August
Avg Daily NonTapped Entries,Column_68,0
Avg Daily Tapped Entries,Column_68,491752.8064516129
,Column_69,September
Avg Daily NonTapped Entries,Column_69,0
Avg Daily Tapped Entries,Column_69,479895.86666666664
,Column_70,October
Avg Daily NonTapped Entries,Column_70,0
Avg Daily Tapped Entries,Column_70,507191.67741935485
,Column_71,November
Avg Daily NonTapped Entries,Column_71,0
Avg Daily Tapped Entries,Column_71,463641.63333333336
,Column_72,December
Avg Daily NonTapped Entries,Column_72,0
Avg Daily Tapped Entries,Column_72,396822.1935483871
,2018,January
Avg Daily NonTapped Entries,2018,0
Avg Daily Tapped Entries,2018,429644.9032258064
,Column_74,February
Avg Daily NonTapped Entries,Column_74,0
Avg Daily Tapped Entries,Column_74,451120.03571428574
,Column_75,March
Avg Daily NonTapped Entries,Column_75,0
Avg Daily Tapped Entries,Column_75,484461.87096774194
,Column_76,April
Avg Daily NonTapped Entries,Column_76,0
Avg Daily Tapped Entries,Column_76,528116.1
,Column_77,May
Avg Daily NonTapped Entries,Column_77,0
Avg Daily Tapped Entries,Column_77,500658.70967741933
,Column_78,June
Avg Daily NonTapped Entries,Column_78,0
Avg Daily Tapped Entries,Column_78,542775.9666666667
,Column_79,July
Avg Daily NonTapped Entries,Column_79,0
Avg Daily Tapped Entries,Column_79,507414.1935483871
,Column_80,August
Avg Daily NonTapped Entries,Column_80,0
Avg Daily Tapped Entries,Column_80,458431.96774193546
,Column_81,September
Avg Daily NonTapped Entries,Column_81,0
Avg Daily Tapped Entries,Column_81,458668.6666666667
,Column_82,October
Avg Daily NonTapped Entries,Column_82,0
Avg Daily Tapped Entries,Column_82,521851.51612903224
,Column_83,November
Avg Daily NonTapped Entries,Column_83,0
Avg Daily Tapped Entries,Column_83,452522
,Column_84,December
Avg Daily NonTapped Entries,Column_84,0
Avg Daily Tapped Entries,Column_84,395143.6451612903
,2019,January
Avg Daily NonTapped Entries,2019,0
Avg Daily Tapped Entries,2019,403828.1612903226
,Column_86,February
Avg Daily NonTapped Entries,Column_86,0
Avg Daily Tapped Entries,Column_86,450934.1785714286
,Column_87,March
Avg Daily NonTapped Entries,Column_87,0
Avg Daily Tapped Entries,Column_87,503075.3548387097
,Column_88,April
Avg Daily NonTapped Entries,Column_88,0
Avg Daily Tapped Entries,Column_88,561424.3
,Column_89,May
Avg Daily NonTapped Entries,Column_89,0
Avg Daily Tapped Entries,Column_89,517317.8387096774
,Column_90,June
Avg Daily NonTapped Entries,Column_90,0
Avg Daily Tapped Entries,Column_90,518623.43333333335
,Column_91,July
Avg Daily NonTapped Entries,Column_91,0
Avg Daily Tapped Entries,Column_91,530037.3548387097
,Column_92,August
Avg Daily NonTapped Entries,Column_92,0
Avg Daily Tapped Entries,Column_92,487551.5483870968
,Column_93,September
Avg Daily NonTapped Entries,Column_93,0
Avg Daily Tapped Entries,Column_93,510175.5
,Column_94,October
Avg Daily NonTapped Entries,Column_94,0
Avg Daily Tapped Entries,Column_94,562181.8709677419
,Column_95,November
Avg Daily NonTapped Entries,Column_95,0
Avg Daily Tapped Entries,Column_95,483489.9666666667
,Column_96,December
Avg Daily NonTapped Entries,Column_96,0
Avg Daily Tapped Entries,Column_96,435728.67741935485
,2020,January
Avg Daily NonTapped Entries,2020,0
Avg Daily Tapped Entries,2020,485335.96774193546
,Column_98,February
Avg Daily NonTapped Entries,Column_98,0
Avg Daily Tapped Entries,Column_98,487738.1379310345
,Column_99,March
Avg Daily NonTapped Entries,Column_99,0
Avg Daily Tapped Entries,Column_99,246032.64516129033
,Column_100,April
Avg Daily NonTapped Entries,Column_100,0
Avg Daily Tapped Entries,Column_100,30003.633333333335
,Column_101,May
Avg Daily NonTapped Entries,Column_101,0
Avg Daily Tapped Entries,Column_101,31227.225806451614
,Column_102,June
Avg Daily NonTapped Entries,Column_102,0
Avg Daily Tapped Entries,Column_102,45636.76666666667
,Column_103,July
Avg Daily NonTapped Entries,Column_103,0
Avg Daily Tapped Entries,Column_103,51677.06451612903
,Column_104,August
Avg Daily NonTapped Entries,Column_104,0
Avg Daily Tapped Entries,Column_104,56076.48387096774
,Column_105,September
Avg Daily NonTapped Entries,Column_105,0
Avg Daily Tapped Entries,Column_105,73185.43333333333
,Column_106,October
Avg Daily NonTapped Entries,Column_106,0
Avg Daily Tapped Entries,Column_106,75695.67741935483
,Column_107,November
Avg Daily NonTapped Entries,Column_107,0
Avg Daily Tapped Entries,Column_107,69368.3
,Column_108,December
Avg Daily NonTapped Entries,Column_108,0
Avg Daily Tapped Entries,Column_108,62975.74193548387
,2021,January
Avg Daily NonTapped Entries,2021,0
Avg Daily Tapped Entries,2021,61001.12903225807
,Column_110,February
Avg Daily NonTapped Entries,Column_110,0
Avg Daily Tapped Entries,Column_110,66272.42857142857
,Column_111,March
Avg Daily NonTapped Entries,Column_111,0
Avg Daily Tapped Entries,Column_111,81807.3870967742
,Column_112,April
Avg Daily NonTapped Entries,Column_112,0
Avg Daily Tapped Entries,Column_112,93778.2
,Column_113,May
Avg Daily NonTapped Entries,Column_113,0
Avg Daily Tapped Entries,Column_113,101866.41935483871
,Column_114,June
Avg Daily NonTapped Entries,Column_114,0
Avg Daily Tapped Entries,Column_114,131137.1
,Column_115,July
Avg Daily NonTapped Entries,Column_115,0
Avg Daily Tapped Entries,Column_115,151640.03225806452
,Column_116,August
Avg Daily NonTapped Entries,Column_116,0
Avg Daily Tapped Entries,Column_116,140034.29032258064
,Column_117,September
Avg Daily NonTapped Entries,Column_117,0
Avg Daily Tapped Entries,Column_117,166124.06666666668
,Column_118,October
Avg Daily NonTapped Entries,Column_118,0
Avg Daily Tapped Entries,Column_118,164288.29032258064
,Column_119,November
Avg Daily NonTapped Entries,Column_119,0
Avg Daily Tapped Entries,Column_119,146578.56666666668
,Column_120,December
Avg Daily NonTapped Entries,Column_120,0
Avg Daily Tapped Entries,Column_120,135714.1935483871
,2022,January
Avg Daily NonTapped Entries,2022,0
Avg Daily Tapped Entries,2022,106521.96774193548
,Column_122,February
Avg Daily NonTapped Entries,Column_122,0
Avg Daily Tapped Entries,Column_122,137405.67857142858
,Column_123,March
Avg Daily NonTapped Entries,Column_123,0
Avg Daily Tapped Entries,Column_123,188491.5806451613
,Column_124,April
Avg Daily NonTapped Entries,Column_124,0
Avg Daily Tapped Entries,Column_124,208099.03333333333
,Column_125,May
Avg Daily NonTapped Entries,Column_125,0
Avg Daily Tapped Entries,Column_125,199694.4193548387
,Column_126,June
Avg Daily NonTapped Entries,Column_126,0
Avg Daily Tapped Entries,Column_126,231498.76666666666
,Column_127,July
Avg Daily NonTapped Entries,Column_127,0
Avg Daily Tapped Entries,Column_127,216815.03225806452
,Column_128,August
Avg Daily NonTapped Entries,Column_128,0
Avg Daily Tapped Entries,Column_128,212771.61290322582
,Column_129,September
Avg Daily NonTapped Entries,Column_129,0
Avg Daily Tapped Entries,Column_129,225749.5
,Column_130,October
Avg Daily NonTapped Entries,Column_130,0
Avg Daily Tapped Entries,Column_130,231655.4193548387
,Column_131,November
Avg Daily NonTapped Entries,Column_131,0
Avg Daily Tapped Entries,Column_131,222079.8
,Column_132,December
Avg Daily NonTapped Entries,Column_132,0
Avg Daily Tapped Entries,Column_132,203740.74193548388
,2023,January
Avg Daily NonTapped Entries,2023,32603.709677419356
Avg Daily Tapped Entries,2023,222255.35483870967
,Column_134,February
Avg Daily NonTapped Entries,Column_134,32255.428571428572
Avg Daily Tapped Entries,Column_134,235168.0357142857
,Column_135,March
Avg Daily NonTapped Entries,Column_135,37483.3870967742
Avg Daily Tapped Entries,Column_135,285197.1935483871
,Column_136,April
Avg Daily NonTapped Entries,Column_136,37630.5
Avg Daily Tapped Entries,Column_136,281998.43333333335
,Column_137,May
Avg Daily NonTapped Entries,Column_137,40440.77419354839
Avg Daily Tapped Entries,Column_137,285451.06451612903
,Column_138,June
Avg Daily NonTapped Entries,Column_138,39636.73333333333
Avg Daily Tapped Entries,Column_138,297676.9666666667
,Column_139,July
Avg Daily NonTapped Entries,Column_139,47144.58064516129
Avg Daily Tapped Entries,Column_139,281708.96774193546
,Column_140,August
Avg Daily NonTapped Entries,Column_140,34432.6129032258
Avg Daily Tapped Entries,Column_140,281173.70967741933
,Column_141,September
Avg Daily NonTapped Entries,Column_141,36549.63333333333
Avg Daily Tapped Entries,Column_141,302345.43333333335
,Column_142,October
Avg Daily NonTapped Entries,Column_142,39401.32258064516
Avg Daily Tapped Entries,Column_142,315023.77419354836
,Column_143,November
Avg Daily NonTapped Entries,Column_143,37165.4
Avg Daily Tapped Entries,Column_143,292244.86666666664
,Column_144,December
Avg Daily NonTapped Entries,Column_144,31391.451612903227
Avg Daily Tapped Entries,Column_144,245574.70967741936
,2024,January
Avg Daily NonTapped Entries,2024,29045.935483870966
Avg Daily Tapped Entries,2024,259363.87096774194
,Column_146,February
Avg Daily NonTapped Entries,Column_146,26698.620689655174
Avg Daily Tapped Entries,Column_146,302182.0344827586
,Column_147,March
Avg Daily NonTapped Entries,Column_147,22128.1935483871
Avg Daily Tapped Entries,Column_147,352805.7419354839
,Column_148,April
Avg Daily NonTapped Entries,Column_148,16877.066666666666
Avg Daily Tapped Entries,Column_148,367752.76666666666
,Column_149,May
Avg Daily NonTapped Entries,Column_149,14067.58064516129
Avg Daily Tapped Entries,Column_149,349292.3548387097
,Column_150,June
Avg Daily NonTapped Entries,Column_150,12128.733333333334
Avg Daily Tapped Entries,Column_150,348174.0333333333
,Column_151,July
Avg Daily NonTapped Entries,Column_151,18923.774193548386
Avg Daily Tapped Entries,Column_151,337638.3548387097
,Column_152,August
Avg Daily NonTapped Entries,Column_152,8880.225806451614
Avg Daily Tapped Entries,Column_152,320138.51612903224
,Column_153,September
Avg Daily NonTapped Entries,Column_153,11588.366666666667
Avg Daily Tapped Entries,Column_153,353898.7
,Column_154,October
Avg Daily NonTapped Entries,Column_154,14264.451612903225
Avg Daily Tapped Entries,Column_154,386500.2580645161
,Column_155,November
Avg Daily NonTapped Entries,Column_155,12597.166666666666
Avg Daily Tapped Entries,Column_155,321323
,Column_156,December
Avg Daily NonTapped Entries,Column_156,14371.90322580645
Avg Daily Tapped Entries,Column_156,300013.5806451613
,2025,January
Avg Daily NonTapped Entries,2025,11532.258064516129
Avg Daily Tapped Entries,2025,303757.77419354836
,Column_158,February
Avg Daily NonTapped Entries,Column_158,16575.75
Avg Daily Tapped Entries,Column_158,340660.6785714286
,Column_159,March
Avg Daily NonTapped Entries,Column_159,17928.545454545456
Avg Daily Tapped Entries,Column_159,372639.8181818182
